pipe,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
p402,-0.0008392334,-0.0008392334,-0.0008506775,-0.6043205,-0.23705292,-0.26973343,-0.6143646,-0.5397682,0.0,-0.44976044,-0.2518463,-0.16312408,-0.33661652,-0.5457306,-0.5942364,-0.5233383,-0.5859947,-0.7451973,-0.23521805,-0.18444443,-0.27285385,-0.32492065,-0.55057144,-0.38248825,-0.5558739,-0.36146927,-0.35281372,-0.26480103,-0.18142319,-0.22177124,-0.0949707,-0.22528458,-0.16775894
p403,-0.00086402893,-0.0008621216,-0.000869751,-0.6068306,-0.2332573,-0.26545334,-0.60194397,-0.5327568,0.0,-0.44921875,-0.25154114,-0.16292953,-0.33109283,-0.5435715,-0.59651566,-0.51828,-0.5880127,-0.7777519,-0.23146057,-0.18141937,-0.26847458,-0.31983566,-0.5362358,-0.37657928,-0.5506325,-0.36104584,-0.35238647,-0.26447678,-0.18119812,-0.22149658,-0.09485245,-0.2250061,-0.16755295
p404,-0.0009460449,-0.0009422302,-0.0009498596,-0.66122437,-0.21491623,-0.2444725,-0.52851486,-0.4888649,0.0,-0.46147537,-0.25811005,-0.16721725,-0.3042717,-0.5432434,-0.647768,-0.51457214,-0.6357956,-0.682106,-0.21328735,-0.16744232,-0.24710464,-0.29410553,-0.485569,-0.34555054,-0.5177345,-0.3709259,-0.36178207,-0.2715187,-0.18590927,-0.22724915,-0.09732437,-0.23083496,-0.17189407
p405,-0.0008945465,-0.00089645386,-0.00090408325,-0.6292534,-0.21640396,-0.24628448,-0.54008865,-0.49531174,0.0,-0.44964218,-0.25172424,-0.16306305,-0.30657196,-0.53448105,-0.6172657,-0.5033531,-0.60692215,-0.7836342,-0.21476364,-0.16835403,-0.24892044,-0.29658127,-0.48649216,-0.3488922,-0.52136993,-0.36145782,-0.35269165,-0.26470566,-0.18133926,-0.22164917,-0.09492111,-0.22515869,-0.1676712
p406,-0.0008621216,-0.0008621216,-0.0008659363,-0.6113167,-0.21751022,-0.24760818,-0.54784393,-0.49981308,0.0,-0.44305038,-0.24816513,-0.16074753,-0.3082428,-0.53009796,-0.6001682,-0.49707413,-0.5907326,-0.8655777,-0.21585846,-0.16906357,-0.2502594,-0.29837418,-0.48731613,-0.3512764,-0.5241165,-0.3561859,-0.34763336,-0.26091766,-0.17877579,-0.21852875,-0.09358215,-0.2219925,-0.16531372
p407,-0.00086402893,-0.0008621216,-0.000869751,-0.5955734,-0.21914291,-0.24954987,-0.55709076,-0.5057106,0.0,-0.43790436,-0.24538422,-0.15893555,-0.31070328,-0.5276184,-0.58522034,-0.49214172,-0.57662964,-0.96995926,-0.21748352,-0.17018127,-0.25221634,-0.30091095,-0.4892311,-0.35456467,-0.5283241,-0.3520584,-0.3436737,-0.25795364,-0.17678452,-0.21609497,-0.09254837,-0.21953201,-0.16347122
p408,-0.00092315674,-0.00091934204,-0.00092697144,-0.6476097,-0.1762085,-0.20030594,-0.4129486,-0.39292908,0.0,-0.43727875,-0.24501419,-0.15875626,-0.24848557,-0.47540283,-1.1047649,-0.45521927,-0.65428925,-0.4623413,-0.1749115,-0.13757324,-0.20225525,-0.24014664,-0.3999176,-0.28076172,-0.42454147,-0.35198975,-0.3432083,-0.25767517,-0.17652512,-0.21575165,-0.09241104,-0.21916962,-0.16321945
p409,-0.00091934204,-0.00091934204,-0.00092315674,-0.6482506,-0.17740631,-0.20167542,-0.416008,-0.39611816,0.0,-0.44390488,-0.24856567,-0.16106415,-0.25018692,-0.48121262,-0.9376278,-0.45694733,-0.6606178,-0.4652977,-0.17609787,-0.13849258,-0.20363998,-0.24182129,-0.40213013,-0.2827835,-0.42843246,-0.3572502,-0.34827805,-0.26145554,-0.17906952,-0.21886063,-0.093738556,-0.22232437,-0.16555786
p410,-0.0008831024,-0.00088500977,-0.00088500977,-0.62498856,-0.17707825,-0.2013855,-0.41643143,-0.39829254,0.0,-0.4636116,-0.2591629,-0.16795349,-0.2497673,-0.49461746,-0.6465168,-0.44766617,-0.651947,-0.46313095,-0.17577744,-0.13806152,-0.2033081,-0.24167633,-0.39818954,-0.28290558,-0.43333435,-0.37294006,-0.36338043,-0.27275467,-0.18667221,-0.22815323,-0.097717285,-0.23174286,-0.17257309
p411,-0.0008735657,-0.0008735657,-0.00088119507,-0.6316376,-0.17879105,-0.20333481,-0.42058182,-0.40224838,0.0,-0.46832275,-0.2617073,-0.16960526,-0.25221634,-0.49967957,-0.65346336,-0.45222473,-0.65888214,-0.46780777,-0.17747879,-0.13940811,-0.20528793,-0.24403,-0.40219116,-0.28567123,-0.43766022,-0.37668228,-0.36699677,-0.2754631,-0.18849564,-0.2303772,-0.09867096,-0.23400116,-0.17425156
p412,-0.0009059906,-0.00090026855,-0.00091171265,-0.63861084,-0.1805954,-0.20537567,-0.4249382,-0.40639877,0.0,-0.47327042,-0.26436996,-0.17133713,-0.25479126,-0.5049858,-0.66074944,-0.45703125,-0.66615295,-0.47270203,-0.17926407,-0.14082336,-0.20737076,-0.24648285,-0.40639496,-0.28858185,-0.44218445,-0.3806038,-0.3707924,-0.27829742,-0.1904068,-0.23272324,-0.09967041,-0.23636627,-0.17601013
p413,-0.0008678436,-0.0008659363,-0.000869751,-0.60624313,-0.23108673,-0.26301956,-0.59555817,-0.5291405,0.0,-0.4481392,-0.25094223,-0.16254425,-0.32795334,-0.5419197,-0.59588814,-0.51428604,-0.58732605,-0.8155823,-0.22930527,-0.17966843,-0.26597595,-0.31697464,-0.527668,-0.3733101,-0.54787064,-0.36018372,-0.35155487,-0.26385117,-0.18076706,-0.22097015,-0.09462738,-0.22447968,-0.16716003
p414,-0.00083351135,-0.0008277893,-0.0008354187,-0.59783554,-0.227211,-0.25868988,-0.5852585,-0.5227318,0.0,-0.44295883,-0.2481308,-0.1607132,-0.32238388,-0.5361748,-0.58771324,-0.5044403,-0.57938004,-0.9038315,-0.2254715,-0.17651367,-0.26153946,-0.31191254,-0.5132828,-0.36754227,-0.54224014,-0.35604858,-0.3475685,-0.26086044,-0.17874908,-0.21850967,-0.093574524,-0.22197342,-0.16529846
p415,-0.0008277893,-0.0008239746,-0.000831604,-0.5885544,-0.22419357,-0.25531006,-0.5771179,-0.517807,0.0,-0.4378128,-0.24534988,-0.15890503,-0.31805038,-0.53084564,-0.57873726,-0.49575043,-0.57071304,-0.99629974,-0.22248459,-0.17404175,-0.25808716,-0.30797195,-0.5023651,-0.36307144,-0.5377579,-0.35196304,-0.34361267,-0.25790405,-0.176754,-0.21606445,-0.09253311,-0.2195015,-0.16345215
p416,-0.0008945465,-0.00089263916,-0.00089645386,-0.62171173,-0.19649887,-0.22364807,-0.47193527,-0.45067215,0.0,-0.4566536,-0.25533676,-0.16540909,-0.27779007,-0.56559753,-0.61115074,-0.4725685,-0.60193634,-0.5332451,-0.19503403,-0.15286255,-0.22587967,-0.26913452,-0.4363098,-0.31622314,-0.49009705,-0.36687088,-0.35795975,-0.2685852,-0.18391037,-0.22480392,-0.0962677,-0.22835541,-0.17004395
p417,-0.00088500977,-0.00088119507,-0.00088882446,-0.621727,-0.19947052,-0.22706985,-0.4798088,-0.45962906,0.0,-0.46552658,-0.26008224,-0.16848755,-0.28208542,-0.5860367,-0.6119213,-0.47554016,-0.6034622,-0.53907394,-0.19798279,-0.15509415,-0.22934723,-0.27340698,-0.4411621,-0.32148743,-0.50157547,-0.37383652,-0.36472702,-0.27363205,-0.18730927,-0.22895813,-0.09804535,-0.23257065,-0.17318344
p418,-0.00088500977,-0.00088500977,-0.00088882446,-0.62090683,-0.20241165,-0.23046875,-0.48766327,-0.4686966,0.0,-0.4744339,-0.26483536,-0.17157364,-0.2863388,-0.60785675,-0.6119404,-0.4780922,-0.6042938,-0.5446739,-0.20090485,-0.15729141,-0.23277283,-0.27764893,-0.4458084,-0.32673645,-0.5133934,-0.38082504,-0.3715248,-0.27869797,-0.1907196,-0.2331276,-0.09983444,-0.23679733,-0.17632675
p419,-0.00088119507,-0.00088119507,-0.00088500977,-0.61896515,-0.20532608,-0.23383331,-0.4954834,-0.4779396,0.0,-0.4834175,-0.269619,-0.17466736,-0.29056168,-0.6315193,-0.61094475,-0.48008728,-0.6041794,-0.5499611,-0.20378876,-0.15945435,-0.23618317,-0.28187943,-0.45015717,-0.33198547,-0.5256882,-0.38785172,-0.37836456,-0.2837906,-0.19414139,-0.23731613,-0.10161972,-0.24103928,-0.17949295
p420,-0.00086402893,-0.0008621216,-0.000869751,-0.61540604,-0.20820236,-0.23716354,-0.5032997,-0.48744965,0.0,-0.49251556,-0.27444458,-0.17780304,-0.29473114,-0.6578522,-0.60848427,-0.48130798,-0.6027107,-0.554821,-0.20664215,-0.16157532,-0.23955154,-0.28609848,-0.45413208,-0.33725357,-0.5386696,-0.39495087,-0.38528442,-0.2889328,-0.1975975,-0.24154663,-0.1034317,-0.24533463,-0.18268204
p421,-0.000831604,-0.000831604,-0.0008392334,-0.57982254,-0.22170639,-0.25254822,-0.5697937,-0.51423645,0.0,-0.43341064,-0.24297333,-0.1573677,-0.31450272,-0.52669144,-0.5703316,-0.4879532,-0.5626373,-1.1173439,-0.22002792,-0.17198563,-0.25525665,-0.30477905,-0.49286652,-0.35948944,-0.53473663,-0.3484459,-0.34023666,-0.2553711,-0.17504883,-0.21398163,-0.09162903,-0.21738815,-0.1618805
p422,-0.00081062317,-0.0008087158,-0.0008163452,-0.57500076,-0.22633743,-0.2579193,-0.5853119,-0.5291786,0.0,-0.43624115,-0.24451065,-0.15835571,-0.32126617,-0.53479004,-0.5661602,-0.4894371,-0.5590973,-1.4025879,-0.22461319,-0.1753807,-0.26068878,-0.31159592,-0.49868774,-0.36806107,-0.5488548,-0.3506546,-0.3424034,-0.25699234,-0.17615128,-0.2153244,-0.09221649,-0.21875763,-0.1628952
p423,-0.0008049011,-0.0008087158,-0.0008125305,-0.56991196,-0.23152542,-0.26395416,-0.60258865,-0.54623795,0.0,-0.43918228,-0.24610138,-0.15938568,-0.32886124,-0.5435562,-0.5617504,-0.49110413,-0.5553436,-1.195118,-0.22977066,-0.1791687,-0.26680374,-0.3192749,-0.50484085,-0.37774658,-0.5647507,-0.35295486,-0.34466934,-0.25868225,-0.17729568,-0.21672821,-0.092811584,-0.2201767,-0.16395569
p424,-0.0007953644,-0.00079345703,-0.0008010864,-0.5671501,-0.2369461,-0.2702446,-0.62038803,-0.56386185,0.0,-0.44288635,-0.24810028,-0.16067886,-0.33677673,-0.55273056,-0.5595341,-0.49396133,-0.55366516,-1.0350647,-0.23514175,-0.18314362,-0.27315903,-0.32725525,-0.5114441,-0.3877983,-0.5813217,-0.35585785,-0.34750366,-0.2607956,-0.1787262,-0.21847916,-0.093559265,-0.22195816,-0.1652832
p425,-0.0009174347,-0.00091552734,-0.00092315674,-0.6460724,-0.182518,-0.20755386,-0.42959213,-0.41082764,0.0,-0.47854996,-0.26721573,-0.17318344,-0.2575302,-0.5106659,-0.66853714,-0.46214676,-0.6739311,-0.4779396,-0.1811676,-0.14233398,-0.20957947,-0.24911118,-0.41087723,-0.29167938,-0.4470253,-0.38480377,-0.3748436,-0.28133392,-0.19244766,-0.23521423,-0.10074234,-0.23889923,-0.17789459
p426,-0.0009098053,-0.00090789795,-0.00091552734,-0.6538048,-0.18666077,-0.21228027,-0.440094,-0.42149734,0.0,-0.49780273,-0.2775421,-0.17989731,-0.2634735,-0.52866364,-0.6758251,-0.47000885,-0.6812172,-0.48878098,-0.18527985,-0.14553833,-0.21436691,-0.25488663,-0.41934586,-0.29861832,-0.4596634,-0.40008545,-0.38957977,-0.29234314,-0.1998558,-0.2442627,-0.10461807,-0.24806595,-0.18471527
p427,-0.0009098053,-0.00091171265,-0.00091552734,-0.6593666,-0.1905098,-0.21667862,-0.44996262,-0.43164825,0.0,-0.5173416,-0.28798676,-0.18668365,-0.269001,-0.5467148,-0.68071365,-0.47668839,-0.6860924,-0.498806,-0.18909454,-0.1484909,-0.21883011,-0.2602806,-0.42697906,-0.30511475,-0.4718628,-0.41558838,-0.4045105,-0.30350494,-0.20733643,-0.25340652,-0.10852432,-0.25733948,-0.1916275
p428,-0.0008659363,-0.0008659363,-0.0008735657,-0.6093674,-0.2110405,-0.24046326,-0.51110077,-0.49739456,0.0,-0.5018196,-0.27936935,-0.18099213,-0.29886246,-0.68839645,-0.60377693,-0.4813385,-0.5991707,-0.5590286,-0.20946121,-0.16363907,-0.24287796,-0.29029465,-0.45754242,-0.34255219,-0.5527611,-0.40219116,-0.39234924,-0.2941742,-0.20112228,-0.24585342,-0.105270386,-0.24970245,-0.18593597
p429,-0.00082969666,-0.000831604,-0.0008354187,-0.58626175,-0.2183075,-0.24895859,-0.5335884,-0.5236168,0.0,-0.48558807,-0.27071762,-0.17536545,-0.30952072,-0.65278625,-0.58107376,-0.47802353,-0.57697296,-0.57357407,-0.21667862,-0.16885757,-0.25146484,-0.30122757,-0.46548843,-0.35648346,-0.58314896,-0.3893509,-0.37996292,-0.28492737,-0.19491959,-0.23827362,-0.10202408,-0.24201202,-0.18022156
p430,-0.0007972717,-0.0008010864,-0.0008087158,-0.57367325,-0.22363663,-0.2551689,-0.55002594,-0.54221344,0.0,-0.47735596,-0.26636124,-0.17253113,-0.31733322,-0.6356087,-0.56874657,-0.47743607,-0.5649986,-0.5854225,-0.22196198,-0.17271805,-0.25774384,-0.30915833,-0.47203827,-0.36654663,-0.60354996,-0.38285065,-0.373703,-0.2802658,-0.19180298,-0.23446274,-0.10039902,-0.23815155,-0.17733765
p431,-0.00076293945,-0.00076293945,-0.00077056885,-0.56417465,-0.22932816,-0.26177597,-0.5672264,-0.5617142,0.0,-0.4710312,-0.26301575,-0.17035675,-0.32566833,-0.6227455,-0.5594139,-0.4783783,-0.55597687,-0.5983887,-0.22760773,-0.17687988,-0.2644348,-0.31757736,-0.4794922,-0.37718964,-0.6239433,-0.37786865,-0.36889648,-0.27669144,-0.18941116,-0.23154068,-0.09914017,-0.23519516,-0.17513657
p432,-0.0008659363,-0.0008659363,-0.0008735657,-0.6093674,-0.2110405,-0.24046326,-0.51110077,-0.49739456,0.0,-0.5018196,-0.27936935,-0.18099213,-0.29886246,-0.68839645,-0.60377693,-0.4813385,-0.5991707,-0.5590286,-0.20946121,-0.16363907,-0.24287796,-0.29029465,-0.45754242,-0.34255219,-0.5527611,-0.40219116,-0.39234924,-0.2941742,-0.20112228,-0.24585342,-0.105270386,-0.24970245,-0.18593597
p433,-0.0008392334,-0.0008392334,-0.0008468628,-0.60671616,-0.21133041,-0.24082565,-0.51166916,-0.49915314,0.0,-0.5106087,-0.28400803,-0.1839943,-0.29930115,-0.7188835,-0.6021385,-0.48029327,-0.59835434,-0.55799866,-0.20975876,-0.16382217,-0.24323654,-0.29079437,-0.4572754,-0.3432312,-0.55711746,-0.4090271,-0.39901352,-0.2991295,-0.20444107,-0.24991608,-0.10700607,-0.2538147,-0.18899536
p434,-0.00084877014,-0.0008468628,-0.0008544922,-0.6034775,-0.21147919,-0.24100494,-0.5118332,-0.50057983,0.0,-0.51997375,-0.28894043,-0.18719101,-0.29951096,-0.75359726,-0.6000099,-0.47881317,-0.59711075,-0.55639267,-0.20989609,-0.16389084,-0.24341583,-0.29107285,-0.45661163,-0.34365463,-0.5613899,-0.4162979,-0.40610504,-0.30438614,-0.20796967,-0.25422668,-0.10885239,-0.25818634,-0.19224548
p435,-0.00031471252,-0.00031280518,-0.00032043457,-0.24744415,-0.4840889,-0.49111176,-0.27933502,-0.2859764,0.0,-0.19991302,-0.114746094,-0.07417297,-0.33833694,-0.24486923,-0.24455261,-0.2731552,-0.24279785,-0.2675171,-0.9663391,-0.22810364,-0.41169357,-0.425663,-0.28393555,-0.3570137,-0.27005768,-0.1618042,-0.15920639,-0.119953156,-0.08283615,-0.10126877,-0.043388367,-0.10303497,-0.07675171
p436,-0.00033187866,-0.00032806396,-0.00033569336,-0.25263977,-0.49286652,-0.50992966,-0.28523636,-0.29211807,0.0,-0.20407104,-0.11708069,-0.075683594,-0.34474945,-0.25011444,-0.2496872,-0.27850723,-0.24789047,-0.27318192,-0.8773346,-0.2304573,-0.4200096,-0.44041824,-0.2895851,-0.3656578,-0.27588272,-0.16514969,-0.16246796,-0.12239838,-0.08451843,-0.10331726,-0.04426956,-0.10511398,-0.07829285
p437,-0.00031471252,-0.00031280518,-0.00032043457,-0.24744415,-0.4840889,-0.49111176,-0.27933502,-0.2859764,0.0,-0.19991302,-0.114746094,-0.07417297,-0.33833694,-0.24486923,-0.24455261,-0.2731552,-0.24279785,-0.2675171,-0.9663391,-0.22810364,-0.41169357,-0.425663,-0.28393555,-0.3570137,-0.27005768,-0.1618042,-0.15920639,-0.119953156,-0.08283615,-0.10126877,-0.043388367,-0.10303497,-0.07675171
p438,-0.00032234192,-0.00032424927,-0.00032806396,-0.25014877,-0.487854,-0.50432587,-0.2824402,-0.2892418,0.0,-0.2020874,-0.115974426,-0.07496643,-0.34154892,-0.24762344,-0.24722862,-0.27585983,-0.2454567,-0.27048874,-1.4375534,-0.22869492,-0.41587448,-0.43567657,-0.28681946,-0.36203384,-0.27313995,-0.16355896,-0.16090775,-0.12123108,-0.083717346,-0.1023407,-0.043849945,-0.10412598,-0.077560425
p439,-0.00033187866,-0.00033187866,-0.00033569336,-0.25275803,-0.4919243,-0.5139961,-0.28539276,-0.29231644,0.0,-0.20417023,-0.11713791,-0.07572174,-0.34474945,-0.25025177,-0.24980545,-0.2785492,-0.24800491,-0.27332306,-1.2197227,-0.23003387,-0.41988373,-0.44325638,-0.28964996,-0.36633682,-0.27604675,-0.16523361,-0.16254425,-0.12245941,-0.084560394,-0.10336685,-0.04429245,-0.105163574,-0.07833862
p440,-0.00032424927,-0.00032424927,-0.00033187866,-0.25535965,-0.49618912,-0.52218246,-0.28832626,-0.29534912,0.0,-0.2062378,-0.11829376,-0.07646942,-0.34798813,-0.2528572,-0.25237083,-0.28128815,-0.25055313,-0.27614594,-1.0821571,-0.2317543,-0.42388153,-0.44981766,-0.292511,-0.3703804,-0.27893448,-0.16689682,-0.16416931,-0.1236763,-0.085392,-0.104393005,-0.04473114,-0.1062088,-0.07911301
p441,-0.0003414154,-0.00033950806,-0.00034713745,-0.25973892,-0.50315475,-0.5375519,-0.2932663,-0.30048752,0.0,-0.20973969,-0.12025452,-0.077739716,-0.35339355,-0.25725174,-0.2566948,-0.28585052,-0.25484085,-0.2809105,-0.8836899,-0.23427582,-0.43059158,-0.46188354,-0.2972908,-0.37740707,-0.28381348,-0.16970444,-0.16690826,-0.12573242,-0.086811066,-0.10611725,-0.045467377,-0.10795593,-0.08041
p442,-0.00035858154,-0.00035476685,-0.00036239624,-0.2643547,-0.5080948,-0.5628662,-0.29853058,-0.3060074,0.0,-0.21344757,-0.12232208,-0.07908249,-0.35879898,-0.26192474,-0.26125145,-0.2905159,-0.25936508,-0.2859726,-0.7705498,-0.23603821,-0.43705368,-0.4800148,-0.30223465,-0.38570786,-0.28903198,-0.17268372,-0.16981888,-0.12791061,-0.08830261,-0.107940674,-0.04624939,-0.109809875,-0.08179855
p443,-0.0003414154,-0.00033950806,-0.00034713745,-0.2699623,-0.5141525,-0.595047,-0.30491257,-0.3127098,0.0,-0.21793365,-0.12483978,-0.080711365,-0.36540985,-0.26760864,-0.2667942,-0.29623032,-0.26485825,-0.29211426,-0.6740799,-0.2384491,-0.44496155,-0.5018234,-0.30825424,-0.39558792,-0.2953682,-0.17629242,-0.17333603,-0.13055038,-0.09011459,-0.11014938,-0.047195435,-0.11205673,-0.083473206
p444,-0.00033569336,-0.00033569336,-0.00033950806,-0.26823044,-0.51784897,-0.56993484,-0.3028946,-0.3105049,0.0,-0.21652222,-0.124046326,-0.080200195,-0.3638382,-0.2658081,-0.2650814,-0.29460526,-0.2631569,-0.2901764,-0.67229843,-0.23835373,-0.4441223,-0.48615646,-0.30651474,-0.39123917,-0.29332352,-0.17515564,-0.17223358,-0.1297226,-0.08954239,-0.10945511,-0.04689789,-0.1113472,-0.08293915
p445,-0.00032806396,-0.00032806396,-0.00033187866,-0.24180222,-0.4740715,-0.46043777,-0.27280426,-0.2790413,0.0,-0.19534683,-0.112197876,-0.07251358,-0.33174896,-0.23908997,-0.2389698,-0.26769638,-0.23725891,-0.26127625,-0.7230606,-0.22853851,-0.40242386,-0.40266418,-0.27807236,-0.34576035,-0.26355362,-0.15813828,-0.15562057,-0.11726761,-0.08099747,-0.0990181,-0.042427063,-0.10074234,-0.075042725
p446,-0.00032424927,-0.00032043457,-0.00032806396,-0.24485397,-0.48662567,-0.4580307,-0.27616882,-0.28240585,0.0,-0.19774246,-0.113544464,-0.073387146,-0.336071,-0.24208069,-0.2419815,-0.27113724,-0.24024582,-0.26452637,-0.62268066,-0.23160553,-0.40856552,-0.40239716,-0.28160858,-0.34884262,-0.2668152,-0.16006851,-0.15750504,-0.11868286,-0.081970215,-0.10020447,-0.042934418,-0.101955414,-0.07594299
p447,-0.00032806396,-0.00032806396,-0.00033187866,-0.24180222,-0.4740715,-0.46043777,-0.27280426,-0.2790413,0.0,-0.19534683,-0.112197876,-0.07251358,-0.33174896,-0.23908997,-0.2389698,-0.26769638,-0.23725891,-0.26127625,-0.7230606,-0.22853851,-0.40242386,-0.40266418,-0.27807236,-0.34576035,-0.26355362,-0.15813828,-0.15562057,-0.11726761,-0.08099747,-0.0990181,-0.042427063,-0.10074234,-0.075042725
p448,-0.00030517578,-0.0002975464,-0.00030517578,-0.23448181,-0.45143127,-0.4325981,-0.2644043,-0.27021027,0.0,-0.18943787,-0.108882904,-0.07036972,-0.32263565,-0.23164749,-0.23173904,-0.2604599,-0.23007965,-0.25325394,-0.61216354,-0.22912979,-0.38858032,-0.380764,-0.27032852,-0.33255386,-0.2552414,-0.15338135,-0.15097809,-0.113780975,-0.07860565,-0.09609604,-0.041175842,-0.097774506,-0.072826385
p449,-0.00029182434,-0.000289917,-0.0002975464,-0.23138809,-0.44097137,-0.4179001,-0.26081467,-0.2663765,0.0,-0.1868515,-0.10745239,-0.06944275,-0.31886673,-0.22845078,-0.22867584,-0.25756454,-0.22703552,-0.24983215,-0.55067444,-0.23112488,-0.38237762,-0.369709,-0.26717377,-0.3263092,-0.2516632,-0.15133667,-0.14897537,-0.1122818,-0.0775795,-0.09483719,-0.040634155,-0.09649658,-0.071884155
p450,-0.00033569336,-0.00033950806,-0.00033950806,-0.2585678,-0.5039253,-0.5268135,-0.2919159,-0.2990303,0.0,-0.20878983,-0.11972046,-0.07739639,-0.35221863,-0.2560463,-0.25553703,-0.28471756,-0.2536888,-0.27960968,-0.8217125,-0.23405457,-0.42961502,-0.45410538,-0.29608536,-0.37477112,-0.28245544,-0.16894531,-0.16616821,-0.12517166,-0.08642197,-0.105644226,-0.045269012,-0.10748291,-0.08005905
p451,-0.0003528595,-0.00035095215,-0.00035476685,-0.2627716,-0.51262665,-0.5389328,-0.29667664,-0.30396652,0.0,-0.21213913,-0.12159729,-0.07860947,-0.35752487,-0.2602768,-0.25968933,-0.2890854,-0.2578087,-0.28419495,-0.73340225,-0.23617172,-0.4367752,-0.46374512,-0.30068588,-0.38129807,-0.28715134,-0.17163849,-0.16879272,-0.12714767,-0.08777237,-0.107299805,-0.04597473,-0.10916138,-0.08130264
p452,-0.00037574768,-0.00037765503,-0.00038146973,-0.27980042,-0.50917435,-0.7044258,-0.31625366,-0.32482147,0.0,-0.22586823,-0.12927628,-0.08358765,-0.37590027,-0.2776909,-0.27652168,-0.30583572,-0.27450943,-0.30300903,-0.57772446,-0.24068832,-0.4554367,-0.5650215,-0.31847763,-0.4160385,-0.30674362,-0.1826706,-0.1795578,-0.13521576,-0.09331131,-0.11406708,-0.048866272,-0.11602783,-0.08642578
p453,-0.00037384033,-0.00037384033,-0.00037765503,-0.28346252,-0.50242615,-0.7831764,-0.32055664,-0.32957458,0.0,-0.22880936,-0.13094711,-0.084667206,-0.3789711,-0.28152084,-0.28014565,-0.3092003,-0.2781105,-0.30714417,-0.5551033,-0.2406578,-0.45681763,-0.6110954,-0.32208633,-0.4259796,-0.3111267,-0.18506241,-0.18188858,-0.1369667,-0.09451294,-0.11553192,-0.04950714,-0.11751938,-0.08753967
p454,-0.00038719177,-0.00038528442,-0.00038909912,-0.28709793,-0.49801254,-0.85604477,-0.3247757,-0.33416748,0.0,-0.23175812,-0.13258743,-0.085739136,-0.3823204,-0.28528595,-0.28373718,-0.31262589,-0.28166962,-0.31120682,-0.5414009,-0.24121094,-0.45910263,-0.65114975,-0.32574844,-0.43481827,-0.31540298,-0.18743134,-0.18420029,-0.1387024,-0.095695496,-0.11698532,-0.050121307,-0.11899185,-0.088638306
p455,-0.00037956238,-0.00038146973,-0.00038528442,-0.29101562,-0.49462128,-0.931015,-0.3293152,-0.339077,0.0,-0.23493195,-0.13435364,-0.086883545,-0.38615417,-0.28933334,-0.28761482,-0.31640244,-0.28552246,-0.3155861,-0.53081894,-0.24216461,-0.46218872,-0.691288,-0.3297577,-0.44380188,-0.3200035,-0.18997574,-0.18667984,-0.14055252,-0.096977234,-0.11854172,-0.050785065,-0.120578766,-0.08980942
p456,-0.00037956238,-0.00038146973,-0.00038909912,-0.29577637,-0.49184036,-1.0180168,-0.3348236,-0.34498978,0.0,-0.23876953,-0.13650513,-0.088272095,-0.39099503,-0.2942238,-0.29232216,-0.3210411,-0.29018784,-0.32089615,-0.52156067,-0.24363708,-0.46648026,-0.737072,-0.3346901,-0.4541893,-0.32555008,-0.1930542,-0.189682,-0.14280319,-0.09851074,-0.12042618,-0.051589966,-0.122486115,-0.09123993
p457,-0.00031471252,-0.00031280518,-0.00032043457,-0.2479248,-0.4973526,-0.45328522,-0.27951813,-0.28572464,0.0,-0.20014572,-0.11488342,-0.0742569,-0.34046936,-0.24506378,-0.24501419,-0.2747116,-0.24324417,-0.2677803,-0.53848267,-0.2356453,-0.41449356,-0.4007454,-0.28525162,-0.35144424,-0.27005386,-0.16199493,-0.15938568,-0.12008667,-0.08293152,-0.101379395,-0.043437958,-0.103149414,-0.07683182
p458,-0.00032615662,-0.00032806396,-0.00033187866,-0.24113464,-0.47056198,-0.4294243,-0.27171326,-0.27752686,0.0,-0.19460297,-0.11180115,-0.07226181,-0.3319435,-0.23814774,-0.23829842,-0.26802826,-0.23657608,-0.26032257,-0.50167084,-0.23610306,-0.40083694,-0.38215256,-0.2780838,-0.33932877,-0.26231384,-0.1575737,-0.15506363,-0.11684418,-0.08071518,-0.09867096,-0.042274475,-0.10039139,-0.07477951
p459,-0.00031471252,-0.00031280518,-0.00032043457,-0.2479248,-0.4973526,-0.45328522,-0.27951813,-0.28572464,0.0,-0.20014572,-0.11488342,-0.0742569,-0.34046936,-0.24506378,-0.24501419,-0.2747116,-0.24324417,-0.2677803,-0.53848267,-0.2356453,-0.41449356,-0.4007454,-0.28525162,-0.35144424,-0.27005386,-0.16199493,-0.15938568,-0.12008667,-0.08293152,-0.101379395,-0.043437958,-0.103149414,-0.07683182
p460,-0.00032615662,-0.00032424927,-0.00032806396,-0.25457764,-0.5270462,-0.47010803,-0.28712463,-0.29362488,0.0,-0.20539856,-0.117836,-0.076171875,-0.3490448,-0.25177383,-0.2515812,-0.28150558,-0.24975586,-0.27506638,-0.5299721,-0.23757172,-0.4283409,-0.41477966,-0.29247284,-0.36209488,-0.27754593,-0.16624832,-0.16353607,-0.12319946,-0.085063934,-0.10398865,-0.044555664,-0.105796814,-0.0788002
