pipe,start,end,length_m,zone,start_x,start_y,end_x,end_y,diameter_mm
p753,n257,n678,57.3993,1,2162.96,890.35,2220.36,891.08,100.0
p754,n678,n265,57.3942,1,2220.36,891.08,2277.74,891.8,100.0
p755,n257,n679,50.8348,1,2162.96,890.35,2164.96,839.55,100.0
p756,n679,n680,50.8295,1,2164.96,839.55,2166.95,788.76,100.0
p757,n680,n263,50.8348,1,2166.95,788.76,2168.95,737.97,100.0
p758,n261,n681,50.3026,1,1925.52,395.4,1975.76,397.91,225.0
p759,n681,n682,50.2996,1,1975.76,397.91,2026.0,400.45,225.0
p760,n682,n272,50.3026,1,2026.0,400.45,2076.24,402.96,225.0
p761,n262,n683,56.7786,1,2118.18,680.81,2101.51,626.53,100.0
p762,n683,n264,47.9173,1,2101.51,626.53,2080.64,583.4,100.0
p763,n263,n684,49.6335,1,2168.95,737.97,2218.47,734.57,100.0
p764,n684,n685,49.6246,1,2218.47,734.57,2267.98,731.19,100.0
p765,n685,n686,49.6335,1,2267.98,731.19,2317.5,727.79,100.0
p766,n686,n283,49.6246,1,2317.5,727.79,2367.0,724.4,100.0
p767,n266,n687,43.5047,1,2101.07,568.83,2097.23,525.5,100.0
p768,n687,n270,43.5047,1,2097.23,525.5,2093.38,482.16,100.0
p769,n266,n688,53.9334,1,2101.07,568.83,2148.93,543.97,150.0
p770,n688,n278,53.9334,1,2148.93,543.97,2196.79,519.11,150.0
p771,n269,n689,49.122,1,2200.09,674.83,2249.12,671.84,100.0
p772,n689,n690,49.1175,1,2249.12,671.84,2298.14,668.85,100.0
p773,n690,n284,49.122,1,2298.14,668.85,2347.17,665.86,100.0
p774,n270,n691,40.5177,1,2093.38,482.16,2084.82,442.56,100.0
p775,n691,n272,40.5146,1,2084.82,442.56,2076.24,402.96,100.0
p776,n271,n692,49.4191,12,2393.77,985.03,2441.95,996.02,200.0
p777,n692,n693,49.4191,12,2441.95,996.02,2490.13,1007.01,200.0
p778,n693,n694,49.4264,12,2490.13,1007.01,2538.32,1018.0,200.0
p779,n694,n695,49.4191,12,2538.32,1018.0,2586.51,1028.99,200.0
p780,n695,n696,49.4191,12,2586.51,1028.99,2634.69,1039.98,200.0
p781,n696,n298,49.4191,12,2634.69,1039.98,2682.87,1050.98,200.0
p782,n272,n697,41.858,1,2076.24,402.96,2118.1,403.1,225.0
p783,n697,n698,41.8616,1,2118.1,403.1,2159.96,403.23,225.0
p784,n698,n285,41.858,1,2159.96,403.23,2201.82,403.37,225.0
p785,n273,n699,47.902,1,2198.62,603.33,2246.41,600.15,100.0
p786,n699,n700,47.9154,1,2246.41,600.15,2294.22,596.98,100.0
p787,n700,n290,47.902,1,2294.22,596.98,2342.02,593.81,100.0
p788,n274,n701,44.2335,12,2409.17,938.26,2452.31,948.07,100.0
p789,n701,n702,44.2262,12,2452.31,948.07,2495.43,957.88,100.0
p790,n702,n287,44.2335,12,2495.43,957.88,2538.56,967.69,100.0
p791,n277,n703,45.0892,1,2197.04,535.91,2242.12,535.04,100.0
p792,n703,n704,47.0074,1,2242.12,535.04,2288.94,530.9,100.0
p793,n704,n705,46.1225,1,2288.94,530.9,2335.04,529.47,100.0
p794,n705,n290,64.7194,6,2335.04,529.47,2342.02,593.81,100.0
p795,n279,n706,37.7147,1,2196.9,506.88,2231.84,492.67,100.0
p796,n706,n288,37.7034,1,2231.84,492.67,2266.76,478.46,100.0
p797,n279,n707,51.8136,1,2196.9,506.88,2199.37,455.13,100.0
p798,n707,n285,51.8166,1,2199.37,455.13,2201.82,403.37,100.0
p799,n281,n708,60.2072,12,2426.89,885.77,2487.09,884.88,100.0
p800,n708,n295,60.1985,12,2487.09,884.88,2547.28,884.0,100.0
p801,n282,n709,52.8283,12,2429.12,832.94,2481.92,831.1,100.0
p802,n709,n710,52.8283,12,2481.92,831.1,2534.72,829.27,100.0
p803,n710,n711,52.8194,12,2534.72,829.27,2587.5,827.44,100.0
p804,n711,n712,52.8283,12,2587.5,827.44,2640.3,825.61,100.0
p805,n712,n311,52.8283,12,2640.3,825.61,2693.1,823.77,100.0
p806,n285,n713,47.0206,1,2201.82,403.37,2248.82,402.02,225.0
p807,n713,n714,47.0158,1,2248.82,402.02,2295.81,400.66,225.0
p808,n714,n715,47.0206,6,2295.81,400.66,2342.81,399.31,225.0
p809,n715,n716,47.007,6,2342.81,399.31,2389.8,397.95,225.0
p810,n716,n717,47.0206,6,2389.8,397.95,2436.8,396.6,225.0
p811,n717,n313,47.0158,6,2436.8,396.6,2483.8,395.24,225.0
p812,n286,n718,48.1788,12,2425.74,786.58,2473.87,784.38,100.0
p813,n718,n719,48.1834,12,2473.87,784.38,2522.0,782.19,100.0
p814,n719,n720,48.1788,12,2522.0,782.19,2570.13,779.99,100.0
p815,n720,n721,48.1923,12,2570.13,779.99,2618.27,777.79,100.0
p816,n721,n722,48.1788,12,2618.27,777.79,2666.4,775.59,100.0
p817,n722,n723,48.1834,12,2666.4,775.59,2714.53,773.4,100.0
p818,n723,n320,48.1788,12,2714.53,773.4,2762.66,771.21,100.0
p819,n287,n724,51.7117,12,2538.56,967.69,2588.98,979.19,100.0
p820,n724,n725,59.5779,12,2588.98,979.19,2646.7,993.94,100.0
p821,n725,n304,60.0602,12,2646.7,993.94,2673.29,940.08,100.0
p822,n289,n726,50.8261,12,2408.92,721.88,2459.66,718.99,100.0
p823,n726,n727,50.8306,12,2459.66,718.99,2510.41,716.11,100.0
p824,n727,n728,50.8261,12,2510.41,716.11,2561.15,713.22,100.0
p825,n728,n729,50.8216,12,2561.15,713.22,2611.89,710.35,100.0
p826,n729,n730,50.8261,12,2611.89,710.35,2662.64,707.46,100.0
p827,n730,n731,50.8306,12,2662.64,707.46,2713.39,704.58,100.0
p828,n731,n322,50.8261,12,2713.39,704.58,2764.13,701.69,100.0
p829,n294,n732,37.5481,6,2412.43,668.54,2449.91,666.37,100.0
p830,n732,n299,37.5347,6,2449.91,666.37,2487.38,664.19,100.0
p831,n294,n733,45.9337,6,2412.43,668.54,2409.48,622.7,100.0
p832,n733,n734,58.5196,6,2409.48,622.7,2405.53,564.31,100.0
p833,n734,n301,42.5654,6,2405.53,564.31,2411.41,522.16,100.0
p834,n295,n735,47.2069,12,2547.28,884.0,2594.19,889.35,100.0
p835,n735,n736,47.2048,12,2594.19,889.35,2641.08,894.72,100.0
p836,n736,n307,47.2069,12,2641.08,894.72,2687.99,900.08,100.0
p837,n296,n737,48.881,12,2576.89,923.8,2625.09,931.94,100.0
p838,n737,n304,48.881,12,2625.09,931.94,2673.29,940.08,100.0
p839,n298,n738,56.3034,12,2682.87,1050.98,2706.11,999.69,100.0
p840,n738,n739,53.1364,12,2706.11,999.69,2727.17,950.91,100.0
p841,n739,n740,48.3641,12,2727.17,950.91,2740.36,904.38,100.0
p842,n740,n314,57.5482,12,2740.36,904.38,2750.64,847.75,100.0
p843,n299,n741,46.8904,6,2487.38,664.19,2534.19,661.42,100.0
p844,n741,n742,46.8904,6,2534.19,661.42,2581.0,658.66,100.0
p845,n742,n743,46.8948,6,2581.0,658.66,2627.82,655.9,100.0
p846,n743,n744,46.8814,6,2627.82,655.9,2674.62,653.14,100.0
p847,n744,n745,46.8904,6,2674.62,653.14,2721.42,650.38,100.0
p848,n745,n323,46.8904,6,2721.42,650.38,2768.23,647.61,100.0
p849,n300,n746,54.1184,12,2719.49,1060.34,2753.41,1018.17,150.0
p850,n746,n747,45.9944,12,2753.41,1018.17,2771.3,975.8,150.0
p851,n747,n748,40.1418,12,2771.3,975.8,2789.58,940.06,150.0
p852,n748,n749,43.4813,12,2789.58,940.06,2802.18,898.45,150.0
p853,n749,n319,42.9632,12,2802.18,898.45,2811.17,856.43,150.0
p854,n302,n750,45.6712,6,2411.1,516.74,2412.37,471.08,100.0
p855,n750,n310,65.9337,6,2412.37,471.08,2476.94,457.71,100.0
p856,n305,n751,48.3722,6,2483.71,601.56,2531.97,598.27,100.0
p857,n751,n752,48.3722,6,2531.97,598.27,2580.23,594.98,100.0
p858,n752,n753,48.3856,6,2580.23,594.98,2628.5,591.7,100.0
p859,n753,n754,48.3722,6,2628.5,591.7,2676.76,588.4,100.0
p860,n754,n755,48.3722,6,2676.76,588.4,2725.02,585.11,100.0
p861,n755,n324,48.3722,6,2725.02,585.11,2773.28,581.82,100.0
p862,n306,n756,45.1285,6,2480.63,546.14,2525.67,543.31,100.0
p863,n756,n757,45.1285,6,2525.67,543.31,2570.71,540.48,100.0
p864,n757,n318,45.1285,6,2570.71,540.48,2615.75,537.65,100.0
p865,n307,n758,38.2356,12,2687.99,900.08,2690.54,861.93,100.0
p866,n758,n311,38.2439,12,2690.54,861.93,2693.1,823.77,100.0
p867,n309,n759,39.8072,6,2478.53,499.12,2518.25,496.5,100.0
p868,n759,n315,39.7938,6,2518.25,496.5,2557.96,493.87,100.0
p869,n312,n760,39.7973,6,2476.35,445.43,2516.01,442.21,100.0
p870,n760,n317,39.7883,6,2516.01,442.21,2555.67,439.01,100.0
p871,n313,n761,38.3261,6,2483.8,395.24,2522.09,396.82,200.0
p872,n761,n321,38.3123,6,2522.09,396.82,2560.37,398.41,200.0
p873,n315,n762,54.8114,6,2557.96,493.87,2612.76,495.03,100.0
p874,n762,n318,42.729,6,2612.76,495.03,2615.75,537.65,100.0
p875,n318,n763,55.4572,6,2615.75,537.65,2670.96,532.39,100.0
p876,n763,n764,39.2767,6,2670.96,532.39,2708.51,543.91,100.0
p877,n764,n325,64.3591,6,2708.51,543.91,2772.13,534.16,100.0
p878,n319,n765,50.9385,12,2811.17,856.43,2814.63,805.61,150.0
p879,n765,n766,50.944,12,2814.63,805.61,2818.1,754.79,150.0
p880,n766,n767,50.9385,12,2818.1,754.79,2821.57,703.97,150.0
p881,n767,n768,50.9523,6,2821.57,703.97,2825.03,653.13,150.0
p882,n768,n769,50.9385,6,2825.03,653.13,2828.5,602.31,150.0
p883,n769,n770,50.944,6,2828.5,602.31,2831.97,551.49,150.0
p884,n770,n329,50.9385,6,2831.97,551.49,2835.43,500.67,150.0
p885,n321,n771,54.9745,6,2560.37,398.41,2614.73,390.2,200.0
p886,n771,n772,54.9838,6,2614.73,390.2,2669.1,381.98,200.0
p887,n772,n773,54.9709,6,2669.1,381.98,2723.45,373.77,200.0
p888,n773,n330,54.9745,6,2723.45,373.77,2777.81,365.56,200.0
p889,n329,n774,45.2004,6,2835.43,500.67,2828.16,456.05,150.0
p890,n774,n331,45.2004,6,2828.16,456.05,2820.89,411.44,150.0
p891,n330,n775,30.9899,6,2777.81,365.56,2808.79,364.69,200.0
p892,n775,n331,48.2921,6,2808.79,364.69,2820.89,411.44,200.0
p893,n335,n776,46.2032,5,1397.95,907.67,1356.19,927.44,200.0
p894,n776,n340,46.2132,7,1356.19,927.44,1314.42,947.21,200.0
p895,n338,n777,52.9065,5,1521.88,776.43,1561.01,740.81,100.0
p896,n777,n339,52.9065,5,1561.01,740.81,1600.13,705.2,100.0
p897,n338,n778,42.8355,5,1521.88,776.43,1487.17,801.53,150.0
p898,n778,n779,42.8345,5,1487.17,801.53,1452.46,826.63,150.0
p899,n779,n342,42.8355,5,1452.46,826.63,1417.76,851.74,150.0
p900,n338,n780,37.3436,5,1521.88,776.43,1487.84,761.07,100.0
p901,n780,n781,46.9972,5,1487.84,761.07,1440.88,763.0,100.0
p902,n781,n341,49.524,5,1440.88,763.0,1391.36,762.78,100.0
p903,n341,n782,46.3969,5,1391.36,762.78,1404.56,807.26,100.0
p904,n782,n342,46.3969,5,1404.56,807.26,1417.76,851.74,100.0
p905,n46,n47,8.9282,9,574.86,1216.08,570.9,1208.08,100.0
